iter,l2_abs,l2_rel
24000,5.394284054637e-02,1.089754343972e-01
24500,5.298744887114e-02,1.070453502234e-01
25000,5.233117565513e-02,1.057195457594e-01
25500,5.177691206336e-02,1.045998213424e-01
26000,5.110025778413e-02,1.032328430137e-01
26500,5.034463852644e-02,1.017063394775e-01
500,2.441075593233e-01,4.931465797400e-01
1000,2.282262593508e-01,4.610631457612e-01
1500,1.639130860567e-01,3.311375443988e-01
2000,9.340777993202e-02,1.887025839031e-01
2500,7.583940774202e-02,1.532109232552e-01
3000,6.134370341897e-02,1.239266723796e-01
3500,5.316840112209e-02,1.074109103228e-01
4000,4.833801090717e-02,9.765254634633e-02
500,3.488929748535e+00,7.048342858422e+00
1000,1.540635704994e+00,3.112395333636e+00
1500,1.228893995285e+00,2.482614107969e+00
2000,1.009027361870e+00,2.038439095248e+00
2500,7.575657367706e-01,1.530435817114e+00
3000,5.401608943939e-01,1.091234119575e+00
3500,3.976435065269e-01,8.033202074659e-01
4000,3.214152157307e-01,6.493236618865e-01
4500,2.770277559757e-01,5.596520268819e-01
5000,2.344402670860e-01,4.736166966206e-01
5500,2.174487709999e-01,4.392904422319e-01
6000,2.062611579895e-01,4.166892040448e-01
500,2.729898691177e+00,5.514946797726e+00
1000,3.225067377090e+00,6.515287567710e+00
1500,3.298460483551e+00,6.663556468222e+00
2000,3.244799613953e+00,6.555150672098e+00
2500,3.158286094666e+00,6.380375887344e+00
3000,3.091465711594e+00,6.245385215772e+00
3500,3.007717609406e+00,6.076197132173e+00
4000,2.928002357483e+00,5.915156220750e+00
500,2.106828451157e+00,4.256219052237e+00
1000,2.342915534973e+00,4.733162651311e+00
500,1.636297941208e+00,3.305652374630e+00
1000,1.634117841721e+00,3.301248133284e+00
500,1.636297941208e+00,3.305652374630e+00
1000,1.634117841721e+00,3.301248133284e+00
500,5.377230644226e-01,1.086309210589e+00
1000,5.380025506020e-01,1.086873829128e+00
1500,5.379872918129e-01,1.086843003292e+00
500,6.634461879730e-01,1.340295316325e+00
1000,6.633381247520e-01,1.340077006789e+00
500,5.799211859703e-01,1.171557940167e+00
1000,5.859436988831e-01,1.183724632803e+00
1500,5.921087861061e-01,1.196179354346e+00
2000,5.976024270058e-01,1.207277618682e+00
2500,5.989829897881e-01,1.210066634377e+00
500,3.986771404743e-01,8.054083568344e-01
1000,3.922187089920e-01,7.923610206322e-01
500,9.611613750458e-01,1.941740132899e+00
500,7.364604473114e-01,1.487798869122e+00
500,4.954722225666e-01,1.000953975339e+00
500,1.890561729670e-01,3.819316588796e-01
1000,1.345688551664e-01,2.718562704441e-01
1500,1.051940098405e-01,2.125131491453e-01
2000,9.241083264351e-02,1.866885489962e-01
2500,8.831486850977e-02,1.784138740583e-01
3000,8.451732993126e-02,1.707420790241e-01
3500,8.120639622211e-02,1.640533241206e-01
4000,7.848276942968e-02,1.585510478252e-01
4500,7.676217705011e-02,1.550751036576e-01
5000,7.582148909569e-02,1.531747239700e-01
5500,7.499234378338e-02,1.514996829512e-01
6000,7.449569553137e-02,1.504963531588e-01
6500,7.415745407343e-02,1.498130370887e-01
7000,7.384210079908e-02,1.491759597729e-01
7500,7.365442812443e-02,1.487968230601e-01
500,1.890561729670e-01,3.819316588796e-01
1000,1.345688551664e-01,2.718562704441e-01
1500,1.051940098405e-01,2.125131491453e-01
2000,9.241083264351e-02,1.866885489962e-01
2500,8.831486850977e-02,1.784138740583e-01
3000,8.451732993126e-02,1.707420790241e-01
3500,8.120639622211e-02,1.640533241206e-01
4000,7.848276942968e-02,1.585510478252e-01
4500,7.676217705011e-02,1.550751036576e-01
5000,7.582148909569e-02,1.531747239700e-01
5500,7.499234378338e-02,1.514996829512e-01
6000,7.449569553137e-02,1.504963531588e-01
6500,7.415745407343e-02,1.498130370887e-01
7000,7.384210079908e-02,1.491759597729e-01
7500,7.365442812443e-02,1.487968230601e-01
8000,7.350791245699e-02,1.485008318156e-01
